Count,City,Country,Date,latitude,longitude
8,Guadalajara,Mexico,1986-05-20,-103.349609,20.659699
68,Guatemala City,Guatemala,2006-04-07,-90.506882,14.634915
17,Guayaquil,Ecuador,2006-02-13,-79.922359,-2.170998
1,Hague,Netherlands,1969-09-08,4.3007,52.070498
1,Haidari,Greece,1980-05-21,23.664275,38.005298
20,Haifa,Israel,2003-10-24,34.989571,32.794046
24,Hamburg,Federal Republic of Germany,1996-07-26,9.993682,53.551085
2,Hanau,Federal Republic of Germany,1986-08-10,8.92831,50.126412
11,Hanover,Federal Republic of Germany,1992-10-12,9.73201,52.375892
1,Hasparen,France,1975-06-12,-1.30525,43.383952
14,Havana,Cuba,1997-10-01,-82.366596,23.113593
90,Hebron,West Bank/Gaza,2005-10-06,,
9,Heidelberg,Federal Republic of Germany,1986-11-16,8.672434,49.398752
4,Hendaye,France,2000-11-09,-1.766148,43.359399
1,Heraklion,Greece,1971-07-03,25.144213,35.338735
2,Hialeah,United States,1979-09-08,-80.278106,25.857596
5,Hoboken,United States,1971-08-22,-74.032363,40.743991
1,Hochum,Federal Republic of Germany,1982-06-08,,
1,Hollywood,United States,1980-10-12,-80.14949,26.011201
1,Hong Kong,Hong Kong,1982-09-20,114.174695,22.278315
1,Huehuetenango,Guatemala,1982-02-13,-91.491824,15.319877
5,Idil,Turkey,2006-07-10,41.8934,37.3402
1,Iraklion,Greece,1973-05-26,25.144213,35.338735
18,Irun,Spain,2004-09-25,-1.788849,43.338147
3,Isfahan,Iran,1978-10-25,51.667983,32.654627
2,Iskenderun,Turkey,2001-01-04,36.175616,36.584673
50,Islamabad,Pakistan,2009-10-20,73.093146,33.729388
1,Ismaram,Ethiopia,1975-10-23,,
380,Istanbul,Turkey,2009-07-27,28.978359,41.008238
1,Ituzaingo,Argentina,1970-03-24,-58.675398,-34.657024
31,Izmir,Turkey,2008-08-21,27.142826,38.423734
292,Jerusalem,Israel,2009-07-22,35.21371,31.768319
10,Johannesburg,South Africa,2002-11-24,28.047305,-26.204103
165,Kabul,Afghanistan,2009-03-18,69.207486,34.555349
1,Kaiserslautern,Federal Republic of Germany,1973-01-11,7.749126,49.440066
18,Kampala,Uganda,2001-03-16,32.58252,0.347596
161,Karachi,Pakistan,2009-09-15,67.009939,24.861462
99,Karbala,Iraq,2008-07-25,44.010392,32.606846
1,Kariba,Zimbabwe (Rhodesia),1976-12-20,28.850941,-16.522046
2,Karlsbad,Federal Republic of Germany,1982-10-21,12.871962,50.231852
1,Katmandu,Nepal,1977-11-09,85.323961,27.717245
1,Kerman,Iran,1979-01-14,57.083363,30.283938
1,Key Biscayne,United States,1972-03-27,-80.162825,25.693713
1,Key West,United States,1968-05-24,-81.779987,24.555059
1,Kfar Yuval,Israel,1975-06-15,35.597063,33.246577
11,Khartoum,Sudan,2008-01-01,32.559899,15.500654
3,Kholargos,Greece,2003-08-28,23.798605,38.002648
1,Khorramshahr,Iran,1978-10-10,48.189118,30.425622
4,Kingston,Jamaica,1980-07-04,-76.809904,18.017874
3,Kinshasa,Zaire (Belgian Congo),1996-11-02,15.266293,-4.441931
852,Kirkuk,Iraq,2008-12-11,44.380392,35.465576
6,Kiryat Shmona,Israel,2005-12-27,35.570246,33.207933
1,Klagenfurt,Austria,1968-03-15,14.312225,46.63646
1,Konstanz,Federal Republic of Germany,1978-11-11,9.173238,47.67795
5,Krakow,Poland,1993-07-02,19.94498,50.06465
8,Kuala Lumpur,Malaysia,1991-03-27,101.686855,3.139003
23,Kuwait City,Kuwait,2004-01-20,47.977405,29.375859
3,La Ceiba,Honduras,1989-07-13,-86.791901,15.770288
43,La Paz,Bolivia,2008-08-28,-68.119294,-16.489689
1,La Plata,Argentina,1973-07-07,-57.953566,-34.920495
1,La Spezia,Italy,1973-04-12,9.824083,44.10245
46,Lahore,Pakistan,2008-11-22,74.357158,31.554606
1,Las Palmas,Canary Islands,1977-01-03,-15.436257,28.123546
1,Lausanne,Switzerland,1981-07-21,6.632273,46.519654
1,Lavrion,Greece,1974-02-23,24.0464,37.720531
1,Leon,Nicaragua,1979-06-05,-86.872215,12.431553
1,Libreville,Gabon,1979-06-21,9.467268,0.416198
1,Liege,Belgium,1974-05-22,5.579666,50.632557
1,Lille,France,1977-04-27,3.057256,50.62925
235,Lima,Peru,2007-05-20,-77.042793,-12.046374
10,Limassol,Cyprus,2004-05-04,33.022617,34.70713
2,Limon,Costa Rica,1982-08-04,-83.041508,9.991311
35,Lisbon,Portugal,1988-12-14,-9.139337,38.722252
141,London,United Kingdom,2007-06-29,-0.127758,51.507351
55,Londonderry,Northern Ireland,2009-09-11,-7.308575,54.996612
1,Long Island,United States,1972-05-24,-73.134961,40.789142
39,Los Angeles,United States,2008-02-05,-118.243685,34.052234
2,Lourdes,France,1983-08-12,-0.045726,43.091463
12,Luanda,Angola,2001-09-25,13.289437,-8.839988
4,Lusaka,Zambia,1999-02-28,28.322817,-15.387526
2,Luxembourg City,Luxembourg,1983-02-28,6.131935,49.611621
16,Lyon,France,1998-11-15,4.835659,45.764043
1,Maalot,Israel,1979-01-14,35.276017,33.015026
135,Madrid,Spain,2009-02-09,-3.70379,40.416775
8,Maicao,Colombia,2008-05-30,-72.248517,11.378934
1,Mainz,Federal Republic of Germany,1975-10-08,8.247253,49.992862
1,Makale,Ethiopia,1977-04-26,39.51666,13.46666
3,Malatya,Turkey,2006-03-31,38.333525,38.355363
8,Managua,Nicaragua,1995-06-05,-86.236174,12.114993
15,Manama,Bahrain,2006-04-29,50.58605,26.228516
3,Manchester,United Kingdom,2004-01-05,-2.242631,53.480759
91,Manila,Philippines,2008-05-21,120.98422,14.599512
4,Mannheim,Federal Republic of Germany,1995-08-16,8.466039,49.487459
1,Manzini,Swaziland,1982-06-17,31.354163,-26.644588
3,Maputo,Mozambique,1993-07-04,32.605135,-25.891968
3,Mar del Plata,Argentina,2005-11-04,-57.542611,-38.005477
5,Maracaibo,Venezuela,2004-09-19,-71.714795,10.654451
2,Marbella,Spain,1984-09-14,-4.882447,36.510071
27,Marseille,France,2007-04-20,5.36978,43.296482
1,Masada,Israel,1968-02-24,35.423166,32.844172
2,Maseru,Lesotho,1983-06-30,27.51436,-29.363219
1,Mashad,Iran,1975-06-14,59.616755,36.260462
1,Mavumba,Mozambique,1982-09-21,,
5,Mazar-e-Sharif,Afghanistan,2005-12-14,67.117951,36.692617
5,Mecca,Saudi Arabia,2005-10-29,39.857912,21.389082
91,Medellin,Colombia,2005-11-07,-75.564574,6.253041
8,Melbourne,Australia,2001-07-16,144.964246,-37.816279
2,Mendoza,Argentina,1991-04-08,-68.845839,-32.889459
2,Merida,Mexico,1976-07-23,-89.592586,20.96737
2,Meshed,Iran,1994-06-20,59.616755,36.260462
29,Mexico City,Mexico,2007-04-03,-99.133208,19.432608
59,Miami,United States,2002-06-03,-80.19179,25.76168
64,Milan,Italy,2009-12-16,9.185924,45.465422
9,Mindanao,Philippines,2008-06-08,123.303406,8.49613
1,Minneapolis,United States,1979-11-09,-93.261479,44.922612
1,Mkuze,South Africa,1982-11-26,32.034023,-27.617835
1,Moenchengladbach,Federal Republic of Germany,1978-08-20,6.442804,51.180457
201,Mogadishu,Somalia,2009-10-28,45.318162,2.046934
1,Monchen-Gladbach,Federal Republic of Germany,1973-09-17,,
2,Monterey,Mexico,1996-04-11,-100.316113,25.686614
18,Montevideo,Uruguay,2006-04-16,-56.164531,-34.901113
7,Montreal,Canada,2004-04-05,-73.567256,45.501689
2,Moscow,USSR,1983-08-19,37.534444,55.751389
4,Moyale,Ethiopia,2003-05-20,39.052841,3.539985
3,Muenster,Federal Republic of Germany,1989-09-01,7.626135,51.960665
31,Munich,Federal Republic of Germany,1995-10-18,11.581981,48.135125
51,Nablus,West Bank/Gaza,2007-02-18,,
3,Nahariya,Israel,1995-06-23,35.098051,33.008536
2,Nahariyya,Israel,2001-09-09,35.098051,33.008536
5,Nairobi,Kenya,2007-07-11,36.821946,-1.292066
1,Nakasuji,Japan,1978-09-16,135.374427,34.819899
5,Nantes,France,2004-01-29,-1.553621,47.218371
4,Naples,Italy,2001-07-21,14.268124,40.851775
1,Neot Hakikar,Israel,1968-02-21,35.378126,30.933368
15,Netanya,Israel,2005-12-05,34.853196,32.321458
1,Neustadt,Federal Republic of Germany,1982-09-18,,
38,New Delhi,India,2008-09-27,77.209021,28.613939
1,New Orleans,United States,1968-11-04,-90.071532,29.951066
167,New York City,United States,2005-05-05,-74.005941,40.712784
13,Nice,France,2003-07-20,7.261953,43.710173
26,Nicosia,Cyprus,2003-01-13,33.382276,35.185566
3,Nimes,France,1999-05-10,4.360054,43.836699
2,Nouakchott,Mauritania,2004-10-02,-15.958237,18.07353
1,Nuevo Concepcion,Guatemala,1982-01-07,-91.730767,15.559732
3,Nuremburg,Federal Republic of Germany,1996-07-28,,
1,Oakland,United States,1969-06-17,-122.271114,37.804364
3,Oaxaca,Mexico,2006-05-19,-96.721622,17.059417
1,Offenbach,Federal Republic of Germany,1982-04-12,8.776084,50.095636
1,Ogden,United States,1981-07-17,-111.97383,41.223
2,Okinawa,Japan,1988-12-24,127.680932,26.212401
1,Olivos,Argentina,1978-09-01,-58.496391,-34.510551
1,Oporto,Portugal,1976-01-16,-8.629105,41.157944
7,Orito,Colombia,2006-01-09,-76.880163,0.67688
2,Ortakoy,Turkey,1999-04-03,34.0408,38.7366
3,Oruro,Bolivia,2004-01-05,-67.106035,-17.964677
4,Osaka,Japan,2001-02-05,135.502165,34.693738
10,Oslo,Norway,2006-09-17,10.752245,59.913869
3,Osnabrueck,Federal Republic of Germany,1996-06-28,8.047179,52.279911
13,Ottawa,Canada,1992-05-26,-75.697193,45.42153
2,Palermo,Italy,1971-07-21,13.361267,38.115688
14,Panama City,Panama,1992-09-18,-79.402864,9.101179
314,Paris,France,2006-06-17,2.352222,48.856614
2,Penang,Malaysia,2006-01-15,100.329761,5.414921
1,Penhalonga,Zimbabwe (Rhodesia),1978-08-02,32.670833,-18.883389
88,Peshawar,Pakistan,2009-10-09,71.58049,34.014975
2,Petach Tikva,Israel,2006-02-05,34.887762,32.084041
3,Petah Tikva,Israel,2003-12-13,34.887762,32.084041
2,Philadelphia,United States,1989-03-13,-75.165222,39.952584
25,Phnom Penh,Cambodia,2007-07-29,104.892167,11.544873
7,Piraeus,Greece,2002-10-12,23.646983,37.942986
1,Pittsburgh,United States,1977-06-25,-79.995886,40.440625
2,Point-a-Pitre,Guadeloupe,1985-01-10,-61.491708,16.288867
1,Port Elizabeth,United States,1976-09-16,-83.204517,43.936887
2,Port of Spain,Trinidad-Tobago,2007-03-07,-61.501926,10.654901
13,Port-au-Prince,Haiti,2005-07-18,-72.307433,18.594395
2,Porto Alegre,Brazil,1972-01-11,-51.217658,-30.034647
1,Qiryat Arba,Israel,1978-12-12,35.115625,31.529326
1,Qiryat Gat,Israel,1979-11-07,34.768459,31.611148
8,Qiryat Shemona,Israel,2008-06-22,35.570246,33.207933
1,Quebec,Canada,1968-05-24,-73.549136,52.939916
1,Queens,United States,1972-12-01,-73.794852,40.728224
3,Quezon City,Philippines,2006-06-11,121.0437,14.676041
36,Quito,Ecuador,2005-11-16,-78.467838,-0.180653
3,Rabat,Morocco,1995-02-28,-6.849813,33.97159
1,Ramstein,Federal Republic of Germany,1982-05-11,,
1,Ravenstein,Netherlands,1972-02-05,5.651501,51.796778
26,Rawalpindi,Pakistan,2009-07-02,73.044135,33.598394
3,Recife,Brazil,1978-05-24,-34.882897,-8.057838
13,Rio de Janeiro,Brazil,2003-05-09,-43.172896,-22.906847
7,Riohacha,Colombia,2006-01-07,-72.916784,11.538415
1,Rockville,United States,1977-07-25,-77.152758,39.083997
1,Romans sur Isere,France,1982-05-03,5.052735,45.044236
173,Rome,Italy,2006-11-06,12.496366,41.902784
25,Rosario,Argentina,2003-04-22,-60.650539,-32.944243
7,Rotterdam,Netherlands,1995-02-20,4.477733,51.92442
1,Roubaix,France,1975-07-26,3.177847,50.692705
1,Rubelsalto,Guatemala,1981-04-29,-90.230759,15.783471
1,Saigon,South Vietnam,1975-01-06,106.629664,10.823099
1,Saint Denis,France,1976-09-29,2.357443,48.936181
4,Saint Sebastian,Spain,1985-08-15,-1.981231,43.318334
7,Saint-Jean-de-Luz,France,1996-08-17,-1.663055,43.388051
2,Salisbury,Zimbabwe (Rhodesia),1977-08-06,31.03351,-17.825166
6,Salonika,Greece,1998-01-26,22.944419,40.640063
1,Salta,Argentina,1974-09-11,-65.423198,-24.782127
1,Salvador,Brazil,1977-07-03,-38.502304,-12.97304
2,Salzburg,Austria,1995-12-20,13.05501,47.80949
3,San Diego,United States,2003-09-19,-117.161084,32.715738
9,San Francisco,United States,1991-06-28,-122.419416,37.77493
30,San Jose,Costa Rica,1993-03-08,-84.090725,9.928069
13,San Juan,Puerto Rico,1998-06-09,-66.105735,18.465539
1,San Justo,Argentina,1975-03-09,-58.563263,-34.687408
1,San Marcos,El Salvador,1978-11-25,-89.172981,13.660952
3,San Martin,Colombia,2001-12-17,-73.697308,3.698492
3,San Miguel de Tucuman,Argentina,1972-11-09,-65.21759,-26.808285
11,San Pedro Sula,Honduras,1998-02-11,-87.992268,15.51492
87,San Salvador,El Salvador,2001-08-11,-89.218191,13.69294
144,San Sebastian,Spain,2008-05-01,-1.981231,43.318334
1,Santa Ana,El Salvador,1979-05-15,-89.563912,13.977828
1,Santa Barbara,United States,1973-01-28,-119.69819,34.420831
12,Santa Cruz,Bolivia,2008-12-18,-63.156085,-17.814582
3,Santa Fe,Argentina,1987-07-01,-60.697294,-31.610658
2,Santa Monica,United States,1975-05-07,-118.491191,34.019454
157,Santiago,Chile,2009-08-03,-70.669265,-33.44889
1,Santiago Texacuangos,El Salvador,1982-07-31,-89.119057,13.640896
2,Santiago de Los Caballeros,Dominican Republic,1968-10-08,-70.693057,19.479196
13,Santo Domingo,Dominican Republic,1989-12-21,-69.931212,18.486058
4,Santurce,Spain,2001-06-01,-3.033659,43.328128
17,Sao Paulo,Brazil,2005-09-08,-46.633309,-23.55052
1,Sapporo,Japan,1974-08-09,141.354376,43.062096
1,Sare,France,1976-05-28,-1.580979,43.312739
1,Sassari,Italy,1977-10-22,8.555683,40.725927
1,Schwaebisch-Gmund,Federal Republic of Germany,1982-08-03,,
5,Seattle,United States,2008-03-03,-122.332071,47.60621
1,Semnan,Iran,1978-11-14,53.379811,35.578797
1,Serrano,Spain,1976-09-27,-3.68663,40.425436
8,Seville,Spain,2000-12-31,-5.984459,37.389092
23,Sidon,Lebanon,2006-04-14,35.372948,33.557069
1,Silwad,Israel,1980-12-04,35.261865,31.97939
5,Singapore,Singapore,1988-04-20,103.867744,1.355379
1,Sligo,Ireland,1979-08-27,-8.476089,54.27661
1,St. Etienne de Baigorry,France,1982-03-19,-1.347473,43.175208
1,St. John,Canada,1968-09-11,-66.063308,45.273315
22,Stockholm,Sweden,2005-12-15,18.068581,59.329323
9,Strasbourg,France,2002-10-22,7.752111,48.573405
9,Stuttgart,Federal Republic of Germany,1996-07-24,9.182932,48.775846
3,Sucre,Bolivia,2007-12-13,-65.261961,-19.019585
1,Sumerville,United States,1982-05-04,-71.099497,42.387597
14,Sydney,Australia,1994-06-16,151.209296,-33.86882
2,Tabriz,Iran,1992-03-26,46.273801,38.096239
1,Talpiot,Israel,1977-11-13,35.221389,31.752648
1,Tampa,United States,1968-05-30,-82.457178,27.950575
1,Taqah,Trucial Oman States,1976-07-01,,
1,Tarma,Peru,1981-07-30,-75.688949,-11.419335
2,Tarsus,Turkey,1979-06-03,34.89521,36.916561
35,Tegucigalpa,Honduras,2009-08-27,-87.192136,14.072275
82,Tehran,Iran,2008-12-13,51.388974,35.689198
98,Tel Aviv,Israel,2006-04-17,34.781768,32.0853
1,Teoponte,Bolivia,1970-07-21,-67.816739,-15.496577
1,Terrenia,Italy,1973-01-17,10.290863,43.629436
21,The Hague,Netherlands,1999-02-16,4.3007,52.070498
9,Thessalonika,Greece,2007-01-16,22.944419,40.640063
71,Thessaloniki,Greece,2009-12-12,22.944419,40.640063
3,Tiberias,Israel,2008-11-01,35.530973,32.795859
18,Tirana,Albania,2007-05-31,19.818698,41.327546
37,Tokyo,Japan,2005-01-09,139.731992,35.709026
1,Toronto,Canada,1982-10-14,-79.383184,43.653226
1,Torrance,United States,1980-07-30,-118.340629,33.835849
7,Toulouse,France,2007-03-07,1.444209,43.604652
2,Trieste,Italy,2000-09-15,13.776818,45.649526
13,Tripoli,Libya,1989-09-28,13.191338,32.887209
1,Tucuman,Argentina,1970-10-05,-65.21759,-26.808285
1,Tuebingen,Federal Republic of Germany,1982-05-02,9.057645,48.521636
14,Turin,Italy,2007-03-05,7.686856,45.070312
4,Tyre,Lebanon,1983-11-04,35.203764,33.270489
5,Union City,United States,1982-05-17,-122.04383,37.593392
2,Utrecht,Netherlands,1995-04-15,5.12142,52.090737
12,Valencia,Spain,2007-05-24,-0.376288,39.469908
3,Valleta,Malta,1984-11-18,14.514553,35.898909
3,Vancouver,Canada,1988-08-26,-123.120738,49.282729
2,Venice,Italy,2001-08-09,12.315515,45.440847
2,Verona,Italy,1999-05-19,10.991622,45.438384
43,Vienna,Austria,2005-11-16,16.373819,48.208174
11,Vientiane,Laos,2004-11-25,102.633104,17.975706
9,Vina Del Mar,Chile,1991-01-22,-71.550028,-33.015348
5,Warsaw,Poland,1998-07-15,21.012229,52.229676
1,Weehawken,United States,1979-03-26,-74.025371,40.766371
3,Weisbaden,Federal Republic of Germany,1985-08-08,,
2,Wellington,New Zealand,2002-01-06,174.776236,-41.28646
13,West Beirut,Lebanon,1988-12-12,35.501777,33.893791
24,West Berlin,Federal Republic of Germany,1988-03-28,-74.941277,39.808726
4,Wiesbaden,Federal Republic of Germany,1991-08-15,8.239761,50.078218
1,Yesilyurt,Turkey,1977-10-09,38.247475,38.295459
33,Zamboanga,Philippines,2008-06-20,122.079027,6.921442
1,Zarit,Israel,1980-12-14,35.288522,33.098985
1,Zouerate,Mauritania,1977-05-01,-12.47532,22.732532
25,Zurich,Switzerland,2006-07-04,8.541694,47.376887
1,el Hamma,Israel,1969-08-07,35.500833,32.373333
